,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1002,30,0.16666666666666666,0.25,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.08333333333333333
1,2006,31,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.14285714285714285
2,3009,31,0.14285714285714285,0.2857142857142857,0.07142857142857142,0.2857142857142857,0.07142857142857142,0.14285714285714285
3,4016,33,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.13333333333333333
4,5023,35,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.13333333333333333
5,6028,35,0.13333333333333333,0.3333333333333333,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.13333333333333333
6,7032,36,0.13333333333333333,0.2,0.06666666666666667,0.4,0.06666666666666667,0.13333333333333333
7,8037,36,0.13333333333333333,0.2,0.06666666666666667,0.4,0.06666666666666667,0.13333333333333333
8,9038,36,0.13333333333333333,0.2,0.06666666666666667,0.4,0.06666666666666667,0.13333333333333333
9,10043,37,0.13333333333333333,0.2,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.13333333333333333
10,11055,37,0.13333333333333333,0.2,0.06666666666666667,0.3333333333333333,0.13333333333333333,0.13333333333333333
11,12075,39,0.2,0.26666666666666666,0.06666666666666667,0.2,0.13333333333333333,0.13333333333333333
12,13095,40,0.26666666666666666,0.13333333333333333,0.06666666666666667,0.2,0.2,0.13333333333333333
13,14118,40,0.2,0.2,0.06666666666666667,0.2,0.2,0.13333333333333333
14,15141,41,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333
15,16161,42,0.4,0.2,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667
16,17183,45,0.4375,0.1875,0.0625,0.125,0.125,0.0625
17,18206,45,0.4375,0.1875,0.0625,0.125,0.125,0.0625
18,19229,45,0.4375,0.1875,0.0625,0.125,0.125,0.0625
19,20250,46,0.375,0.25,0.0625,0.125,0.125,0.0625
20,21271,48,0.4375,0.1875,0.0625,0.125,0.125,0.0625
21,22294,48,0.4375,0.1875,0.0625,0.125,0.125,0.0625
22,23312,49,0.4375,0.1875,0.0625,0.125,0.125,0.0625
23,24332,49,0.4375,0.1875,0.0625,0.125,0.125,0.0625
24,25351,49,0.4375,0.25,0.0625,0.0625,0.125,0.0625
25,26373,49,0.4375,0.25,0.0625,0.0625,0.125,0.0625
26,27397,49,0.4375,0.25,0.0625,0.0625,0.125,0.0625
27,28420,49,0.4375,0.25,0.0625,0.0625,0.125,0.0625
28,29434,50,0.4375,0.25,0.0625,0.0625,0.125,0.0625
29,30443,50,0.4375,0.25,0.0625,0.0625,0.125,0.0625
30,31453,50,0.4375,0.25,0.0625,0.0625,0.125,0.0625
31,32461,50,0.4375,0.25,0.0625,0.0625,0.125,0.0625
32,33472,50,0.4375,0.25,0.0625,0.0625,0.125,0.0625
33,34487,50,0.4375,0.25,0.0625,0.0625,0.125,0.0625
34,35497,50,0.4375,0.25,0.0625,0.0625,0.125,0.0625
35,36500,50,0.4375,0.25,0.0625,0.0625,0.125,0.0625
36,37509,50,0.4375,0.1875,0.0625,0.0625,0.1875,0.0625
37,38521,50,0.4375,0.1875,0.0625,0.0625,0.1875,0.0625
38,39531,50,0.4375,0.1875,0.0625,0.0625,0.1875,0.0625
39,40575,50,0.4375,0.1875,0.0625,0.0625,0.1875,0.0625
40,41587,51,0.4375,0.1875,0.0625,0.0625,0.1875,0.0625
41,42601,51,0.4375,0.1875,0.0625,0.0625,0.1875,0.0625
42,43614,51,0.4375,0.1875,0.0625,0.0625,0.1875,0.0625
43,44629,51,0.4375,0.1875,0.0625,0.0625,0.1875,0.0625
44,45642,51,0.4375,0.1875,0.0625,0.0625,0.1875,0.0625
45,46650,52,0.4,0.2,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667
46,47664,52,0.4,0.2,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667
47,48675,52,0.4,0.2,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667
48,49687,53,0.4,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.06666666666666667
49,50008,53,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.06666666666666667
