policy,parameter,outcome,importance
no_abatement,rho,welfare,0.24316155203780906
no_abatement,rho,years_above_temperature_threshold,0.2511913846110055
no_abatement,rho,welfare_loss_damage,0.1792354234550479
no_abatement,rho,welfare_loss_abatement,0.18214806392295801
no_abatement,eta,welfare,0.2681304385419934
no_abatement,eta,years_above_temperature_threshold,0.23836200873736618
no_abatement,eta,welfare_loss_damage,0.397002479488099
no_abatement,eta,welfare_loss_abatement,0.4733119489220877
no_abatement,delta,welfare,0.2434509567412481
no_abatement,delta,years_above_temperature_threshold,0.2630639001995032
no_abatement,delta,welfare_loss_damage,0.18342469040694098
no_abatement,delta,welfare_loss_abatement,0.14780325555808885
no_abatement,ecs_ensemble,welfare,0.2452570526789494
no_abatement,ecs_ensemble,years_above_temperature_threshold,0.2473827064521251
no_abatement,ecs_ensemble,welfare_loss_damage,0.24033740664991213
no_abatement,ecs_ensemble,welfare_loss_abatement,0.1967367315968654
moderate_abatement,rho,welfare,0.23771631789659556
moderate_abatement,rho,years_above_temperature_threshold,0.239880261807867
moderate_abatement,rho,welfare_loss_damage,0.17763197949226042
moderate_abatement,rho,welfare_loss_abatement,0.2563750072795478
moderate_abatement,eta,welfare,0.273242330767202
moderate_abatement,eta,years_above_temperature_threshold,0.24938095347392714
moderate_abatement,eta,welfare_loss_damage,0.41200454451959717
moderate_abatement,eta,welfare_loss_abatement,0.3010059193042725
moderate_abatement,delta,welfare,0.21207887408031562
moderate_abatement,delta,years_above_temperature_threshold,0.2684333082270807
moderate_abatement,delta,welfare_loss_damage,0.21628394957409472
moderate_abatement,delta,welfare_loss_abatement,0.22074836329516373
moderate_abatement,ecs_ensemble,welfare,0.2769624772558868
moderate_abatement,ecs_ensemble,years_above_temperature_threshold,0.24230547649112516
moderate_abatement,ecs_ensemble,welfare_loss_damage,0.19407952641404766
moderate_abatement,ecs_ensemble,welfare_loss_abatement,0.22187071012101608
