delta,eta,rho,ecr_plateau,scenario,policy,model
1.0,1.1666666666666665,0.001,0.0,300,no_abatement,JUSTICE_A2_morris_traceable
1.0,1.1666666666666665,0.02033333333333333,0.0,301,no_abatement,JUSTICE_A2_morris_traceable
2.0,1.1666666666666665,0.02033333333333333,0.0,302,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.5,0.02033333333333333,0.0,303,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.8333333333333334,0.02033333333333333,0.0,304,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.8333333333333334,0.02033333333333333,0.0,305,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.8333333333333334,0.001,0.0,306,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.5,0.001,0.0,307,no_abatement,JUSTICE_A2_morris_traceable
1.0,0.5,0.02033333333333333,0.0,308,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.5,0.02033333333333333,0.0,309,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.5,0.001,0.0,310,no_abatement,JUSTICE_A2_morris_traceable
2.0,1.1666666666666665,0.001,0.0,311,no_abatement,JUSTICE_A2_morris_traceable
2.0,1.1666666666666665,0.02033333333333333,0.0,312,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.5,0.02033333333333333,0.0,313,no_abatement,JUSTICE_A2_morris_traceable
1.0,0.5,0.02033333333333333,0.0,314,no_abatement,JUSTICE_A2_morris_traceable
1.0,0.5,0.001,0.0,315,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.8333333333333334,0.03,0.0,316,no_abatement,JUSTICE_A2_morris_traceable
1.0,0.8333333333333334,0.03,0.0,317,no_abatement,JUSTICE_A2_morris_traceable
1.0,0.8333333333333334,0.010666666666666668,0.0,318,no_abatement,JUSTICE_A2_morris_traceable
1.0,1.5,0.010666666666666668,0.0,319,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.5,0.010666666666666668,0.0,320,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.1666666666666665,0.010666666666666668,0.0,321,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.1666666666666665,0.010666666666666668,0.0,322,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.1666666666666665,0.03,0.0,323,no_abatement,JUSTICE_A2_morris_traceable
1.0,0.5,0.010666666666666668,0.0,324,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.5,0.010666666666666668,0.0,325,no_abatement,JUSTICE_A2_morris_traceable
2.0,0.5,0.03,0.0,326,no_abatement,JUSTICE_A2_morris_traceable
2.0,1.1666666666666665,0.03,0.0,327,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.03,0.0,328,no_abatement,JUSTICE_A2_morris_traceable
0.5,1.5,0.010666666666666668,0.0,329,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.5,0.010666666666666668,0.0,330,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.8333333333333334,0.010666666666666668,0.0,331,no_abatement,JUSTICE_A2_morris_traceable
1.5,1.5,0.03,0.0,332,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.8333333333333334,0.03,0.0,333,no_abatement,JUSTICE_A2_morris_traceable
1.5,0.8333333333333334,0.010666666666666668,0.0,334,no_abatement,JUSTICE_A2_morris_traceable
0.5,0.8333333333333334,0.010666666666666668,0.0,335,no_abatement,JUSTICE_A2_morris_traceable
