policy,outcome,parameter,mu,mu_star,sigma
no_abatement,welfare,delta,-9.61834287737011,12.069462246999016,20.044382515416338
no_abatement,welfare,eta,-1278.7242017046274,1278.7242017046274,1248.0674841104558
no_abatement,welfare,rho,-1396.4170203217366,1396.4170203217366,1543.9374496379116
no_abatement,years_above_temperature_threshold,delta,0.0,0.0,0.0
no_abatement,years_above_temperature_threshold,eta,0.0,0.0,0.0
no_abatement,years_above_temperature_threshold,rho,0.0,0.0,0.0
no_abatement,welfare_loss_damage,delta,-109.31949452903108,222.32076764205004,264.42686077421826
no_abatement,welfare_loss_damage,eta,7361.0440455559965,7361.0440455559965,5102.772085311239
no_abatement,welfare_loss_damage,rho,-994.2569748642085,994.2569748642085,648.1082252533512
no_abatement,welfare_loss_abatement,delta,0.0,0.0,0.0
no_abatement,welfare_loss_abatement,eta,217566.33894288904,217566.33894288904,267718.3730827402
no_abatement,welfare_loss_abatement,rho,-103776.22979211948,103776.22979211948,194480.17106924136
moderate_abatement,welfare,delta,-17.724054713814475,18.742558872438554,45.171427420314394
moderate_abatement,welfare,eta,-1129.1835415360174,1129.1835415360174,1275.457097922074
moderate_abatement,welfare,rho,-1172.3656469131172,1172.3656469131172,1452.9915122897323
moderate_abatement,years_above_temperature_threshold,delta,0.0,0.0,0.0
moderate_abatement,years_above_temperature_threshold,eta,0.0,0.0,0.0
moderate_abatement,years_above_temperature_threshold,rho,0.0,0.0,0.0
moderate_abatement,welfare_loss_damage,delta,-5.469300691780798,176.1171954237817,246.1877438059288
moderate_abatement,welfare_loss_damage,eta,6217.434034972708,6217.434034972708,5333.358952734081
moderate_abatement,welfare_loss_damage,rho,-837.7552690141619,837.7552690141619,546.2912533014972
moderate_abatement,welfare_loss_abatement,delta,0.0,0.0,0.0
moderate_abatement,welfare_loss_abatement,eta,1568.7609060483842,1568.7609060483842,1798.338751262873
moderate_abatement,welfare_loss_abatement,rho,-1813.811060216307,1813.811060216307,2133.2605704876646
