ssp_scenario,ecs_percentile,eta,delta,ecr_plateau,scenario,policy,model
1,4.045300707906284,1.6215014047831748,1.9501509921403573,0.2,0,low_abatement,JUSTICE_A3_1p5_extension
2,90.01620439189695,1.4322656580028088,1.9985879770779578,0.2,1,low_abatement,JUSTICE_A3_1p5_extension
0,91.41064107043032,1.0201217944480163,0.9143378005865294,0.2,2,low_abatement,JUSTICE_A3_1p5_extension
4,71.86334293989805,0.8358692844551094,0.6159419520609826,0.2,3,low_abatement,JUSTICE_A3_1p5_extension
6,8.240673140938855,1.9919834614086398,0.9770654110878931,0.2,4,low_abatement,JUSTICE_A3_1p5_extension
1,15.899005795163474,1.6300154062806596,1.8652123351540806,0.2,5,low_abatement,JUSTICE_A3_1p5_extension
4,32.78349494126939,1.6911712156618932,0.8952786012937709,0.2,6,low_abatement,JUSTICE_A3_1p5_extension
7,76.8503176736713,2.0773794037343722,1.7596087058277365,0.2,7,low_abatement,JUSTICE_A3_1p5_extension
4,83.37199194417023,0.9654066727136872,1.9051051549100881,0.2,8,low_abatement,JUSTICE_A3_1p5_extension
0,74.82622134131387,1.35204365051769,1.4412537156921568,0.2,9,low_abatement,JUSTICE_A3_1p5_extension
1,4.876307356580228,0.6080332531920747,0.9546629245570197,0.2,10,low_abatement,JUSTICE_A3_1p5_extension
2,87.006836153187,1.2231383414339096,1.2905232891644682,0.2,11,low_abatement,JUSTICE_A3_1p5_extension
4,63.15032034539332,1.6812954970790601,0.82987345158857,0.2,12,low_abatement,JUSTICE_A3_1p5_extension
7,93.621480526751,1.8803309624904865,1.860784339059558,0.2,13,low_abatement,JUSTICE_A3_1p5_extension
1,44.05340625528539,2.1083927037169943,1.368248630160862,0.2,14,low_abatement,JUSTICE_A3_1p5_extension
2,83.85623616868172,1.0918307182772544,1.8016514965446588,0.2,15,low_abatement,JUSTICE_A3_1p5_extension
0,86.97950745990539,0.8759970410598714,0.5058364836471909,0.2,16,low_abatement,JUSTICE_A3_1p5_extension
5,9.589376389875431,1.6164206634731544,1.2988358292910633,0.2,17,low_abatement,JUSTICE_A3_1p5_extension
1,75.6669106767364,1.3031241037891466,1.1749399863467906,0.2,18,low_abatement,JUSTICE_A3_1p5_extension
2,60.767538787532196,0.6245639853484654,1.720202359514737,0.2,19,low_abatement,JUSTICE_A3_1p5_extension
6,24.013609298816515,1.2752334081994152,1.7411770824514714,0.2,20,low_abatement,JUSTICE_A3_1p5_extension
2,80.46656161365681,1.1920731145510735,1.2076695863504425,0.2,21,low_abatement,JUSTICE_A3_1p5_extension
5,99.25558545175012,2.4339698693415777,1.3085042896321049,0.2,22,low_abatement,JUSTICE_A3_1p5_extension
1,68.76201466223564,1.7659292011985412,1.013487099058533,0.2,23,low_abatement,JUSTICE_A3_1p5_extension
5,65.19696287775353,0.8015995400445854,0.7545538885303253,0.2,24,low_abatement,JUSTICE_A3_1p5_extension
2,55.203188878527875,0.748320798450433,1.6894406751600306,0.2,25,low_abatement,JUSTICE_A3_1p5_extension
4,86.13161077297556,1.5552792262242385,1.479124679092446,0.2,26,low_abatement,JUSTICE_A3_1p5_extension
4,64.08505501806576,1.0672524465286797,1.2244052720066119,0.2,27,low_abatement,JUSTICE_A3_1p5_extension
7,16.004335806491973,0.5963381269661108,1.2846227279777223,0.2,28,low_abatement,JUSTICE_A3_1p5_extension
6,0.6927629715792494,0.8942052270924123,1.9454495788173172,0.2,29,low_abatement,JUSTICE_A3_1p5_extension
5,50.145026887385605,0.6837059185123187,1.027513244981292,0.2,30,low_abatement,JUSTICE_A3_1p5_extension
0,36.53535804753908,1.2917942375607925,1.1265434634945193,0.2,31,low_abatement,JUSTICE_A3_1p5_extension
2,26.10326298913719,1.5648588399829741,0.939295415803285,0.2,32,low_abatement,JUSTICE_A3_1p5_extension
1,33.52772211246353,2.282420446791928,1.6826181395880164,0.2,33,low_abatement,JUSTICE_A3_1p5_extension
2,31.954903773272992,1.6483812570590906,1.8425025363976146,0.2,34,low_abatement,JUSTICE_A3_1p5_extension
7,69.54232835715023,1.5212341935418872,1.6339998863301837,0.2,35,low_abatement,JUSTICE_A3_1p5_extension
2,77.31045519409469,1.2658179169124604,1.6145912188544256,0.2,36,low_abatement,JUSTICE_A3_1p5_extension
