policy,policy_index,selection_label,welfare_lens,run_name,seed,scenario,scenario_index,climate_ensemble_index,years_above_1p5C,years_above_2C,ever_above_1p5C,ever_above_2C,max_global_temperature,temperature_2100
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_1,0,1,277.0,111.0,True,True,2.491555387853217,2.16551509555371
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_21,1,21,271.0,214.0,True,True,2.5776721215835376,2.2818914749519323
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_41,2,41,278.0,261.0,True,True,2.963992127120127,2.5609734646979327
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_62,3,62,280.0,275.0,True,True,4.043033794283579,3.1360775625946684
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_82,4,82,283.0,280.0,True,True,4.979416127598129,3.9913366078318564
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_102,5,102,284.0,283.0,True,True,5.55256750696598,4.688481867402906
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_123,6,123,284.0,283.0,True,True,6.050480643316234,5.233551615200956
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_143,7,143,284.0,283.0,True,True,6.5233014124513895,5.740722074993183
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_164,8,164,284.0,283.0,True,True,6.96740206685655,6.221637870287605
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_184,9,184,284.0,283.0,True,True,7.377451581478815,6.6719089656860495
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_204,10,204,284.0,283.0,True,True,7.756948452012672,7.084641483423164
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_225,11,225,284.0,284.0,True,True,8.102101748124602,7.458448614170248
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_245,12,245,284.0,284.0,True,True,8.425816622943497,7.794351255133361
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_266,13,266,284.0,284.0,True,True,8.731531168755806,8.106442640481303
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_286,14,286,284.0,284.0,True,True,9.019887528942315,8.398334159681886
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_306,15,306,284.0,284.0,True,True,9.292628298548946,8.672226618291697
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_327,16,327,284.0,284.0,True,True,9.550197203802947,8.930554437983142
P0,0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN_50000_4567890,4567890,FAIR_347,17,347,284.0,284.0,True,True,9.79405181847436,9.174328128720047
