year,region,welfare_function,rho,eta,inequality_aversion,sufficiency_threshold,egality_strictness,physical_damage_per_capita,discount_factor,plotted_value,plotted_value_description,welfare_loss_damage_scalar,model_native_welfare_loss_note
2015,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,0.0,1.0,0.0,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2016,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,0.0,0.9852216748768474,0.0,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2017,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,0.0,0.9706617486471405,0.0,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2018,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,2.4841198845578845e-06,0.9563169937410252,2.3756060600926986e-06,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2019,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,0.005055126702544355,0.9421842302867243,0.00476286066123862,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2020,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,0.00980680815737475,0.9282603254056397,0.009103270931355368,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2021,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,0.014847610099758693,0.9145421925178719,0.013578765894283815,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2022,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,0.020107533429988167,0.9010267906580018,0.018117426314470723,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2023,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,0.02601362385867434,0.887711123800987,0.02309258326971997,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2024,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,0.032244292236692514,0.874592240198017,0.028200607780888433,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2025,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,0.038526291263178886,0.8616672317221843,0.03319684274126593,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2026,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,0.04578906675338585,0.848933233223827,0.03887186048525349,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2027,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,0.05280136317632034,0.836387421895396,0.04416239601960507,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2028,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,0.059527012217515315,0.8240270166457105,0.049051866287431904,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2029,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,0.06621408540331111,0.8118492774834588,0.05375585739390616,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2030,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,0.0732772128733809,0.7998515049098116,0.05861088899237034,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2031,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,0.08178027146952453,0.7880310393200115,0.0644453923220021,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2032,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,0.09086193089181462,0.7763852604138046,0.0705438638771426,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2033,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,0.10063940619576447,0.7649115866145859,0.07698024786915199,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2034,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,0.11155133617397249,0.7536074744971291,0.08406592073084765,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2035,rjan57 / Japan & Pacific,Utilitarian,0.015,1.45,0.0,0.0,0.0,0.12404514269610331,0.7424704182237725,0.09209984897620337,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-4144.312094162514,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
