welfare_lens,reference_set_row,fraction_above_threshold,welfare_loss_damage,welfare_loss_abatement
PRIORITARIAN,0,1.0,11508.428160362017,166609.95970453107
PRIORITARIAN,1,0.4,34643.63357410777,92526.34968892006
PRIORITARIAN,2,0.5,34035.68913774523,94340.013085217
PRIORITARIAN,3,0.6,33424.51757238152,96498.61617256473
PRIORITARIAN,4,0.6,33795.993808377694,95713.06427514848
PRIORITARIAN,5,0.5,34136.14888091144,93594.97711892796
PRIORITARIAN,6,1.0,20332.55255001128,152712.35444413335
PRIORITARIAN,7,1.0,20182.2909032862,153502.42669864825
PRIORITARIAN,8,0.4,34102.50944595278,95561.43047775666
PRIORITARIAN,9,0.4,34326.77804154191,93004.15846087296
PRIORITARIAN,10,0.4,34201.19149676763,90548.84042178394
PRIORITARIAN,11,0.3,35330.169057890686,52271.12164162346
PRIORITARIAN,12,1.0,17345.628252687937,159851.79245421075
PRIORITARIAN,13,0.4,34399.27772345644,94276.65762337712
PRIORITARIAN,14,0.6,24027.02127853271,134923.57658583912
PRIORITARIAN,15,0.5,33809.82072723656,92527.60426779732
PRIORITARIAN,16,0.3,35351.15890269201,49300.7537980559
PRIORITARIAN,17,0.5,33928.767527845426,92456.6952264886
PRIORITARIAN,18,1.0,16129.015566839103,160189.32763464237
PRIORITARIAN,19,1.0,20391.88373822959,151771.4365658614
PRIORITARIAN,20,0.4,34892.32864511939,91539.43628235946
PRIORITARIAN,21,0.4,34906.096756441344,90547.17592829306
PRIORITARIAN,22,0.6,23965.22527483399,134174.50620685652
PRIORITARIAN,23,1.0,18797.52014000988,158389.3655428565
PRIORITARIAN,24,1.0,19425.43262024724,155003.49648832204
PRIORITARIAN,25,1.0,17823.72334049167,159495.84106224836
PRIORITARIAN,26,0.6,28949.85043677206,123878.39716612862
PRIORITARIAN,27,1.0,20445.642770736973,151669.81413616546
PRIORITARIAN,28,0.6,24779.706884376566,132101.7787484306
PRIORITARIAN,29,0.3,35484.5575476098,49056.965768330985
PRIORITARIAN,30,0.4,34254.04247227378,93032.75205649337
PRIORITARIAN,31,1.0,19085.27399908449,157531.60024770256
PRIORITARIAN,32,0.6,24901.527878520978,132083.40417117515
PRIORITARIAN,33,0.6,27664.04144789032,131126.20672922535
PRIORITARIAN,34,0.5,29963.17551372174,123735.37764014004
PRIORITARIAN,35,0.3,35350.82008554238,51452.96692697766
PRIORITARIAN,36,1.0,20344.463046485795,152609.12380054238
PRIORITARIAN,37,1.0,18989.123060394617,157626.24641855195
PRIORITARIAN,38,0.6,33973.2662508939,95588.26147152005
PRIORITARIAN,39,1.0,18081.03126878381,159367.69154507236
PRIORITARIAN,40,0.6,33410.605196225966,95614.07917186394
PRIORITARIAN,41,1.0,18976.75596523292,157964.5239320216
PRIORITARIAN,42,0.5,34557.17686708141,90978.83817701128
PRIORITARIAN,43,0.6,25735.785941672988,131699.38727579627
PRIORITARIAN,44,1.0,20652.98040077929,150989.1934614181
PRIORITARIAN,45,1.0,13155.913358757163,162201.46431909068
PRIORITARIAN,46,1.0,18865.481483192056,158289.6789797569
PRIORITARIAN,47,0.6,24656.430656731394,133411.60052984962
PRIORITARIAN,48,0.5,34166.069976620114,93469.48503591436
PRIORITARIAN,49,0.7,22871.85301081191,137329.9201973421
PRIORITARIAN,50,0.4,34892.255877491305,92026.36116941848
PRIORITARIAN,51,0.6,34000.0142849305,97219.39927952195
PRIORITARIAN,52,0.6,24420.227305238863,133635.47579945164
PRIORITARIAN,53,0.6,24193.96227383365,133812.43246521289
PRIORITARIAN,54,0.4,34377.451321078086,94420.7838863152
PRIORITARIAN,55,1.0,19233.72952954598,157271.63547849568
PRIORITARIAN,56,1.0,12776.753423057571,162746.67971663846
PRIORITARIAN,57,1.0,13022.835390053044,162621.99203619477
PRIORITARIAN,58,1.0,13121.004691254891,162444.77984257494
PRIORITARIAN,59,1.0,17846.988448911692,159486.29021960008
PRIORITARIAN,60,0.6,33409.79149623649,95693.56858010365
PRIORITARIAN,61,1.0,20386.909378640965,151904.99154824833
PRIORITARIAN,62,1.0,19345.28587714611,156397.98115300958
PRIORITARIAN,63,1.0,17651.113440069686,159708.51045127102
PRIORITARIAN,64,1.0,20946.86115737776,148956.2410945534
PRIORITARIAN,65,1.0,20549.458785778752,151073.45776045622
PRIORITARIAN,66,1.0,20257.74298612814,153440.6251059741
PRIORITARIAN,67,0.4,29794.45173238827,123340.75644391174
PRIORITARIAN,68,0.6,34866.44866510939,90348.35207811843
PRIORITARIAN,69,0.7,22520.101489151413,139291.66979438337
PRIORITARIAN,70,0.6,25017.39739687044,132985.08576452918
PRIORITARIAN,71,0.4,34205.71911165313,96308.50100319748
PRIORITARIAN,72,0.6,33286.43309501998,93799.77203748663
PRIORITARIAN,73,0.6,34985.207020601425,89025.61938575597
PRIORITARIAN,74,0.4,34211.325235065306,95373.9183178768
PRIORITARIAN,75,1.0,16103.241199431905,160723.53468370368
PRIORITARIAN,76,0.7,22757.609451066503,137404.11754836718
PRIORITARIAN,77,1.0,20832.389323327,150681.8015429873
PRIORITARIAN,78,0.5,34082.173806118146,96977.18004010756
PRIORITARIAN,79,0.6,25617.11940424381,131706.59367780143
PRIORITARIAN,80,0.4,34345.3187422582,92973.56298871788
PRIORITARIAN,81,0.4,34281.33379034016,95631.38095487784
PRIORITARIAN,82,0.6,24660.417206136623,132276.0690072869
PRIORITARIAN,83,1.0,18625.45038942552,158855.14359106348
PRIORITARIAN,84,0.6,28258.99158688359,131071.98500120731
PRIORITARIAN,85,1.0,20267.12605108224,153374.87056340504
PRIORITARIAN,86,0.3,34928.84452293297,86908.45528694877
PRIORITARIAN,87,0.4,34636.47635204284,92021.9879570127
PRIORITARIAN,88,1.0,11552.259875506736,164516.2404227524
PRIORITARIAN,89,0.2,35224.59243747802,20971.72297423959
PRIORITARIAN,90,1.0,11512.4941755772,164838.78744741614
PRIORITARIAN,91,0.6,35978.645292070505,14725.185500097086
PRIORITARIAN,92,0.5,32757.577191865064,120141.61397694796
PRIORITARIAN,93,0.6,33232.22564687944,104615.69383694524
PRIORITARIAN,94,0.9,21314.850479792087,144989.1376794253
PRIORITARIAN,95,0.3,35759.121406264385,40698.18890525405
PRIORITARIAN,96,1.0,19584.56731777648,154909.1093450432
PRIORITARIAN,97,0.2,35461.50553243911,38717.5188132273
PRIORITARIAN,98,0.3,35747.34449539233,40703.37033956448
PRIORITARIAN,99,0.4,35954.11531655981,14892.403025183956
PRIORITARIAN,100,0.2,35193.202024053855,21023.77068503809
PRIORITARIAN,101,0.4,35240.80943666756,77200.34317856477
PRIORITARIAN,102,0.4,32883.93096965731,108751.010866316
PRIORITARIAN,103,0.4,35540.21143546436,73247.56411130213
PRIORITARIAN,104,0.4,35710.992202640446,20472.70822637495
PRIORITARIAN,105,0.4,33181.844876410185,108256.45998386136
PRIORITARIAN,106,0.6,35997.891992958626,14591.691750361424
PRIORITARIAN,107,0.2,35854.174355053176,19596.55266886245
PRIORITARIAN,108,0.6,35464.85194974863,73908.63685031519
PRIORITARIAN,109,0.6,32874.71161750116,108762.01459771911
PRIORITARIAN,110,0.4,35853.86380221963,39478.34323782471
PRIORITARIAN,111,1.0,11642.52067715574,163746.18156535094
PRIORITARIAN,112,0.6,35589.63940201058,69861.54306453344
PRIORITARIAN,113,1.0,19761.75616852337,154547.84566665615
PRIORITARIAN,114,0.4,32780.640091093155,120230.72454068184
PRIORITARIAN,115,0.4,35466.16271354093,73407.57382817194
PRIORITARIAN,116,0.6,34941.38269055377,75387.83734517472
PRIORITARIAN,117,0.4,32470.142122764388,120932.51366354416
PRIORITARIAN,118,0.4,35651.45963539544,43810.87153933121
PRIORITARIAN,119,0.4,35957.32312773097,14776.016129813856
PRIORITARIAN,120,0.4,35965.0903407294,14790.304035268537
PRIORITARIAN,121,0.3,35255.25323812937,77103.88967164402
PRIORITARIAN,122,0.4,35843.831597736484,40080.550513577255
PRIORITARIAN,123,0.3,35694.61541306705,43794.93930844507
PRIORITARIAN,124,0.3,35180.07890198598,77713.40559552803
PRIORITARIAN,125,0.4,35997.43868264392,14583.403934412298
PRIORITARIAN,126,0.4,32567.731816995245,120806.9747155908
PRIORITARIAN,127,0.6,31813.5081481263,121156.61341557912
PRIORITARIAN,128,0.4,32742.005256671146,120547.00741575703
PRIORITARIAN,129,0.6,35954.1376719132,15844.908061929453
PRIORITARIAN,130,0.4,35623.65589336696,64797.05628378787
PRIORITARIAN,131,0.2,35345.46861665289,20871.548419067505
PRIORITARIAN,132,0.5,32959.76492151208,108325.5368144839
PRIORITARIAN,133,0.5,32994.202537341225,108424.95239826413
PRIORITARIAN,134,0.4,32433.30001827376,121021.23515992524
PRIORITARIAN,135,0.4,36048.42995829156,14123.61462277264
PRIORITARIAN,136,0.6,32517.311782218087,120959.3562892844
PRIORITARIAN,137,0.5,35379.6782261323,74852.98109232646
PRIORITARIAN,138,0.4,35175.88455949931,75260.78275523636
PRIORITARIAN,139,0.6,35661.58619213752,44001.12860635501
PRIORITARIAN,140,0.2,36129.68797874365,13649.609765168178
PRIORITARIAN,141,0.6,35873.419736995886,15922.56850045265
