policy_code,selection_label,policy_source_lens,evaluation_welfare_context,native_or_cross_eval,source_run,pareto_row,ecs_target_label,ecs_target_value,climate_ensemble_index,actual_ecs_proxy_value,absolute_deviation_from_ecs_target,years_above_2C,peak_global_temperature
P0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN,native,PRIORITARIAN_50000_4567890,38,Low likely ECS,2.5,54,2.499399,0.0006010000000000737,15.0,2.129586127195299
P0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN,native,PRIORITARIAN_50000_4567890,38,Central ECS,3.0,402,3.000481,0.00048100000000017573,13.0,2.1445646343519877
P0,A_actor_preferred_prioritarian,PRIORITARIAN,PRIORITARIAN,native,PRIORITARIAN_50000_4567890,38,High-tail ECS stress,4.5,8,4.502681,0.0026809999999999334,236.0,2.6285068482898843
P0,A_actor_preferred_prioritarian,PRIORITARIAN,UTILITARIAN,cross_eval,PRIORITARIAN_50000_4567890,38,Low likely ECS,2.5,54,2.499399,0.0006010000000000737,15.0,2.12950287593848
P0,A_actor_preferred_prioritarian,PRIORITARIAN,UTILITARIAN,cross_eval,PRIORITARIAN_50000_4567890,38,Central ECS,3.0,402,3.000481,0.00048100000000017573,13.0,2.1445021224623417
P0,A_actor_preferred_prioritarian,PRIORITARIAN,UTILITARIAN,cross_eval,PRIORITARIAN_50000_4567890,38,High-tail ECS stress,4.5,8,4.502681,0.0026809999999999334,236.0,2.6283640458335493
P3,E_best_utilitarian_threshold,UTILITARIAN,UTILITARIAN,native,UTILITARIAN_50000_4567890,6,Low likely ECS,2.5,54,2.499399,0.0006010000000000737,16.0,2.101914839701694
P3,E_best_utilitarian_threshold,UTILITARIAN,UTILITARIAN,native,UTILITARIAN_50000_4567890,6,Central ECS,3.0,402,3.000481,0.00048100000000017573,7.0,2.092794281455555
P3,E_best_utilitarian_threshold,UTILITARIAN,UTILITARIAN,native,UTILITARIAN_50000_4567890,6,High-tail ECS stress,4.5,8,4.502681,0.0026809999999999334,239.0,2.8550640784446326
P3,E_best_utilitarian_threshold,UTILITARIAN,PRIORITARIAN,cross_eval,UTILITARIAN_50000_4567890,6,Low likely ECS,2.5,54,2.499399,0.0006010000000000737,16.0,2.1020350023086523
P3,E_best_utilitarian_threshold,UTILITARIAN,PRIORITARIAN,cross_eval,UTILITARIAN_50000_4567890,6,Central ECS,3.0,402,3.000481,0.00048100000000017573,7.0,2.0929134081070004
P3,E_best_utilitarian_threshold,UTILITARIAN,PRIORITARIAN,cross_eval,UTILITARIAN_50000_4567890,6,High-tail ECS stress,4.5,8,4.502681,0.0026809999999999334,239.0,2.8553516575307993
P4,F_typical_utilitarian_lower_abatement,UTILITARIAN,UTILITARIAN,native,UTILITARIAN_50000_9845531,3,Low likely ECS,2.5,54,2.499399,0.0006010000000000737,11.0,2.0726239383384697
P4,F_typical_utilitarian_lower_abatement,UTILITARIAN,UTILITARIAN,native,UTILITARIAN_50000_9845531,3,Central ECS,3.0,402,3.000481,0.00048100000000017573,32.0,2.224007627616741
P4,F_typical_utilitarian_lower_abatement,UTILITARIAN,UTILITARIAN,native,UTILITARIAN_50000_9845531,3,High-tail ECS stress,4.5,8,4.502681,0.0026809999999999334,231.0,2.816796764755908
P4,F_typical_utilitarian_lower_abatement,UTILITARIAN,PRIORITARIAN,cross_eval,UTILITARIAN_50000_9845531,3,Low likely ECS,2.5,54,2.499399,0.0006010000000000737,11.0,2.072793060139772
P4,F_typical_utilitarian_lower_abatement,UTILITARIAN,PRIORITARIAN,cross_eval,UTILITARIAN_50000_9845531,3,Central ECS,3.0,402,3.000481,0.00048100000000017573,32.0,2.2241939149018837
P4,F_typical_utilitarian_lower_abatement,UTILITARIAN,PRIORITARIAN,cross_eval,UTILITARIAN_50000_9845531,3,High-tail ECS stress,4.5,8,4.502681,0.0026809999999999334,231.0,2.8170243312763334
