welfare_lens,reference_set_row,selection_rank,selection_rule,ecs_label,ecs_percentile,climate_ensemble_index,optimisation_fraction_above_threshold,optimisation_welfare_loss_damage,years_above_2C,peak_global_temperature
PRIORITARIAN,100,1,"lowest fraction_above_threshold, then lowest welfare_loss_damage",Low ECS approx. 2.5 degC,20.0,471,0.2,35193.202024053855,0.0,1.7197031924623063
PRIORITARIAN,100,1,"lowest fraction_above_threshold, then lowest welfare_loss_damage",Median ECS approx. 3.0 degC,50.0,355,0.2,35193.202024053855,221.0,2.465018250594122
PRIORITARIAN,100,1,"lowest fraction_above_threshold, then lowest welfare_loss_damage",High ECS approx. 4.5 degC,90.0,948,0.2,35193.202024053855,219.0,3.038143177321449
PRIORITARIAN,89,2,"lowest fraction_above_threshold, then lowest welfare_loss_damage",Low ECS approx. 2.5 degC,20.0,471,0.2,35224.59243747802,0.0,1.7216164630807123
PRIORITARIAN,89,2,"lowest fraction_above_threshold, then lowest welfare_loss_damage",Median ECS approx. 3.0 degC,50.0,355,0.2,35224.59243747802,219.0,2.4553047259839076
PRIORITARIAN,89,2,"lowest fraction_above_threshold, then lowest welfare_loss_damage",High ECS approx. 4.5 degC,90.0,948,0.2,35224.59243747802,219.0,3.020274285995235
PRIORITARIAN,131,3,"lowest fraction_above_threshold, then lowest welfare_loss_damage",Low ECS approx. 2.5 degC,20.0,471,0.2,35345.46861665289,0.0,1.709154600896771
PRIORITARIAN,131,3,"lowest fraction_above_threshold, then lowest welfare_loss_damage",Median ECS approx. 3.0 degC,50.0,355,0.2,35345.46861665289,210.0,2.4374525479280242
PRIORITARIAN,131,3,"lowest fraction_above_threshold, then lowest welfare_loss_damage",High ECS approx. 4.5 degC,90.0,948,0.2,35345.46861665289,219.0,2.9720680782589834
PRIORITARIAN,153,4,"lowest fraction_above_threshold, then lowest welfare_loss_damage",Low ECS approx. 2.5 degC,20.0,471,0.2,35453.31342290555,0.0,1.6876684473704724
PRIORITARIAN,153,4,"lowest fraction_above_threshold, then lowest welfare_loss_damage",Median ECS approx. 3.0 degC,50.0,355,0.2,35453.31342290555,221.0,2.490997671628074
PRIORITARIAN,153,4,"lowest fraction_above_threshold, then lowest welfare_loss_damage",High ECS approx. 4.5 degC,90.0,948,0.2,35453.31342290555,219.0,2.9063702621349887
PRIORITARIAN,97,5,"lowest fraction_above_threshold, then lowest welfare_loss_damage",Low ECS approx. 2.5 degC,20.0,471,0.2,35461.50553243911,0.0,1.6801781744477842
PRIORITARIAN,97,5,"lowest fraction_above_threshold, then lowest welfare_loss_damage",Median ECS approx. 3.0 degC,50.0,355,0.2,35461.50553243911,223.0,2.5161596085462903
PRIORITARIAN,97,5,"lowest fraction_above_threshold, then lowest welfare_loss_damage",High ECS approx. 4.5 degC,90.0,948,0.2,35461.50553243911,219.0,2.9208005163597837
UTILITARIAN,7,1,"lowest fraction_above_threshold, then lowest welfare_loss_damage",Low ECS approx. 2.5 degC,20.0,471,0.2,3650.52468573091,0.0,1.8550623223394032
UTILITARIAN,7,1,"lowest fraction_above_threshold, then lowest welfare_loss_damage",Median ECS approx. 3.0 degC,50.0,355,0.2,3650.52468573091,210.0,2.4421776784405225
UTILITARIAN,7,1,"lowest fraction_above_threshold, then lowest welfare_loss_damage",High ECS approx. 4.5 degC,90.0,948,0.2,3650.52468573091,219.0,2.832717230146977
UTILITARIAN,2,2,"lowest fraction_above_threshold, then lowest welfare_loss_damage",Low ECS approx. 2.5 degC,20.0,471,0.2,3652.082587592713,0.0,1.801994545155677
UTILITARIAN,2,2,"lowest fraction_above_threshold, then lowest welfare_loss_damage",Median ECS approx. 3.0 degC,50.0,355,0.2,3652.082587592713,205.0,2.4249200213304207
UTILITARIAN,2,2,"lowest fraction_above_threshold, then lowest welfare_loss_damage",High ECS approx. 4.5 degC,90.0,948,0.2,3652.082587592713,219.0,2.8556591050101083
UTILITARIAN,11,3,"lowest fraction_above_threshold, then lowest welfare_loss_damage",Low ECS approx. 2.5 degC,20.0,471,0.2,3652.757715196887,0.0,1.729417734046829
UTILITARIAN,11,3,"lowest fraction_above_threshold, then lowest welfare_loss_damage",Median ECS approx. 3.0 degC,50.0,355,0.2,3652.757715196887,192.0,2.392734985438799
UTILITARIAN,11,3,"lowest fraction_above_threshold, then lowest welfare_loss_damage",High ECS approx. 4.5 degC,90.0,948,0.2,3652.757715196887,219.0,2.9319961711653026
UTILITARIAN,12,4,"lowest fraction_above_threshold, then lowest welfare_loss_damage",Low ECS approx. 2.5 degC,20.0,471,0.2,3653.248486322773,0.0,1.6320303185161746
UTILITARIAN,12,4,"lowest fraction_above_threshold, then lowest welfare_loss_damage",Median ECS approx. 3.0 degC,50.0,355,0.2,3653.248486322773,212.0,2.4575232107415683
UTILITARIAN,12,4,"lowest fraction_above_threshold, then lowest welfare_loss_damage",High ECS approx. 4.5 degC,90.0,948,0.2,3653.248486322773,219.0,2.936476444125053
UTILITARIAN,3,5,"lowest fraction_above_threshold, then lowest welfare_loss_damage",Low ECS approx. 2.5 degC,20.0,471,0.2,3655.27881009005,0.0,1.6251416683285158
UTILITARIAN,3,5,"lowest fraction_above_threshold, then lowest welfare_loss_damage",Median ECS approx. 3.0 degC,50.0,355,0.2,3655.27881009005,200.0,2.4119791779343065
UTILITARIAN,3,5,"lowest fraction_above_threshold, then lowest welfare_loss_damage",High ECS approx. 4.5 degC,90.0,948,0.2,3655.27881009005,218.0,2.8682675286875803
