year,region,welfare_function,rho,eta,inequality_aversion,sufficiency_threshold,egality_strictness,physical_damage_per_capita,discount_factor,plotted_value,plotted_value_description,welfare_loss_damage_scalar,model_native_welfare_loss_note
2015,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.0,1.0,0.0,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2016,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.0,1.0,0.0,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2017,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.0,1.0,0.0,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2018,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,1.0086836715802105e-06,1.0,1.0086836715802105e-06,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2019,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.006268612545165623,1.0,0.006268612545165623,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2020,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.012405244089514666,1.0,0.012405244089514666,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2021,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.018868412157474295,1.0,0.018868412157474295,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2022,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.02565564309658419,1.0,0.02565564309658419,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2023,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.03330666139277572,1.0,0.03330666139277572,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2024,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.041404034540144796,1.0,0.041404034540144796,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2025,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.04958607945384667,1.0,0.04958607945384667,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2026,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.05752370916938063,1.0,0.05752370916938063,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2027,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.06476157813094173,1.0,0.06476157813094173,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2028,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.07129162766482976,1.0,0.07129162766482976,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2029,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.07743831863565147,1.0,0.07743831863565147,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2030,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.08368632585238356,1.0,0.08368632585238356,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2031,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.09066875449005968,1.0,0.09066875449005968,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2032,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.09784622387312601,1.0,0.09784622387312601,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2033,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.1053119429787746,1.0,0.1053119429787746,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2034,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.11347407501333567,1.0,0.11347407501333567,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2035,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.12270409353320826,1.0,0.12270409353320826,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2036,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.13324591658343604,1.0,0.13324591658343604,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2037,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.1442690737793394,1.0,0.1442690737793394,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2038,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.15519795623070812,1.0,0.15519795623070812,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2039,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.16577521818098395,1.0,0.16577521818098395,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2040,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.17593798307362468,1.0,0.17593798307362468,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2041,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.1866577108571066,1.0,0.1866577108571066,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2042,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.1969360396704985,1.0,0.1969360396704985,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2043,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.20717918450134742,1.0,0.20717918450134742,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
2044,rjan57 / Pacific Islands,Prioritarian,0.0,1.45,2.0,0.0,0.0,0.2179729208047638,1.0,0.2179729208047638,"physical_damage_per_capita multiplied by JUSTICE welfare_function.calculate_discount_rate; regional time-discounting visibility, not full welfare aggregation",-31116.502585877628,"scalar from welfare_function.calculate_welfare(physical_damage, welfare_loss=True)"
